Status,Source,Target,StartTime,StopTime,Duration,Count,Size
DONE,172.32.6.30:/MD-BB-PROD3,172.28.255.4:/a17uepbb03wa01,31/08/2019 23:14:49,01/09/2019 05:31:17,06:16,449595,13930
DONE,172.32.6.30:/MD-BB-PROD-2,172.28.255.4:/a17uepbb02am01,31/08/2019 15:24:31,31/08/2019 15:54:50,00:30,1902,146
DONE,172.32.6.30:/MD-BB-PROD-1,172.28.255.4:/a17uepbb01eu01,31/08/2019 15:23:34,31/08/2019 22:05:11,06:42,4182,769
DONE,172.32.6.30:/MD-BB-PROD-4,172.28.255.4:/a17uepbb04ln01,31/08/2019 15:22:31,31/08/2019 15:49:19,00:27,350,534
DONE,172.32.6.30:/MD-BB-PROD-3-CMA,172.28.255.4:/a17uepbb03wa03,31/08/2019 15:09:30,31/08/2019 15:10:51,00:01,4,0
DONE,172.32.6.30:/MD-BB-PROD-3-LOGS,172.28.255.4:/a17uepbb03wa02,31/08/2019 15:08:30,31/08/2019 15:09:59,00:01,3,0
DONE,172.32.6.30:/MD-BB-PROD3,172.28.255.4:/a17uepbb03wa01,30/08/2019 23:15:07,31/08/2019 04:46:23,05:31,230211,19764
DONE,172.32.6.30:/MD-BB-PROD-2,172.28.255.4:/a17uepbb02am01,30/08/2019 15:24:59,30/08/2019 15:55:54,00:31,528,36
DONE,172.32.6.30:/MD-BB-PROD-1,172.28.255.4:/a17uepbb01eu01,30/08/2019 15:23:58,30/08/2019 22:28:45,07:05,8487,501
DONE,172.32.6.30:/MD-BB-PROD-4,172.28.255.4:/a17uepbb04ln01,30/08/2019 15:21:59,30/08/2019 15:48:01,00:26,230,537
DONE,172.32.6.30:/MD-BB-PROD-3-CMA,172.28.255.4:/a17uepbb03wa03,30/08/2019 15:09:58,30/08/2019 15:11:23,00:01,4,0
